epoch,accuracy,loss,val_accuracy,val_loss
0,0.4140625,1.686708927154541,0.6171875,1.231555461883545
1,0.6770833134651184,1.072305679321289,0.765625,0.9256801605224609
2,0.7925347089767456,0.7331917881965637,0.8203125,0.7003008127212524
3,0.8220486044883728,0.621621310710907,0.875,0.5895953178405762
4,0.8923611044883728,0.4627245366573334,0.8359375,0.6154289841651917
5,0.9088541865348816,0.3984125852584839,0.8828125,0.49869298934936523
6,0.9427083134651184,0.2998524010181427,0.9140625,0.4247865080833435
7,0.9678819179534912,0.24170830845832825,0.9296875,0.38544556498527527
8,0.9791666865348816,0.20619377493858337,0.9296875,0.3811269998550415
9,0.9826388955116272,0.18344920873641968,0.9375,0.32005569338798523
10,0.9887152910232544,0.15305185317993164,0.921875,0.3557567298412323
11,0.9861111044883728,0.146223247051239,0.9296875,0.31696557998657227
12,0.9817708134651184,0.1444382667541504,0.9375,0.3616048991680145
13,0.9947916865348816,0.1126120388507843,0.9375,0.32792311906814575
14,0.9930555820465088,0.10510808229446411,0.9453125,0.29028770327568054
