epoch,accuracy,loss,val_accuracy,val_loss
0,0.4765625,1.5440770387649536,0.7265625,0.9711088538169861
1,0.7786458134651184,0.7942348718643188,0.796875,0.7924897074699402
2,0.8585069179534912,0.5473039150238037,0.8828125,0.5844429731369019
3,0.9001736044883728,0.4084313213825226,0.890625,0.4997684955596924
4,0.9227430820465088,0.3405746519565582,0.859375,0.5775983333587646
5,0.9435763955116272,0.279852032661438,0.90625,0.47358274459838867
6,0.9652777910232544,0.2149897962808609,0.921875,0.36206039786338806
7,0.9861111044883728,0.16443680226802826,0.921875,0.3496398627758026
8,0.9765625,0.17008310556411743,0.921875,0.3494233787059784
9,0.9887152910232544,0.13460834324359894,0.9375,0.31727761030197144
10,0.9921875,0.11550351977348328,0.9296875,0.32992449402809143
11,0.9852430820465088,0.1291254758834839,0.921875,0.3201134204864502
12,0.9947916865348816,0.1009814441204071,0.9375,0.2637799084186554
13,0.9869791865348816,0.12396270781755447,0.9609375,0.2711455821990967
14,0.9861111044883728,0.12223170697689056,0.9140625,0.3218049705028534
